READ1	READ2	READ3	READ4
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	1
0	0	0	0
523	780	469	467
0	0	0	1
1	5	3	2
0	6	0	2
0	0	0	0
0	0	0	0
0	0	0	0
19	32	162	165
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	2	1
1	3	4	2
0	0	0	0
0	0	0	0
0	0	0	0
295	460	603	562
1022	1590	1078	939
0	0	0	1
18	13	20	20
0	0	0	0
22	25	20	34
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
459	753	446	407
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
1731	2776	2848	2596
2	2	1	2
0	0	0	0
4	17	6	6
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
1174	1823	1248	1134
8	7	4	11
0	0	0	0
0	0	0	0
0	0	0	0
111	159	162	125
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
6	9	6	4
3	5	10	8
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
11	23	60	44
11	16	57	50
398	673	667	618
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	0	1
13	25	46	65
0	3	0	3
0	0	0	0
0	0	0	0
0	0	0	0
1868	3083	2531	2213
1	3	1	2
1	1	2	0
0	0	0	0
166	249	270	290
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
149	212	343	339
0	0	0	0
0	0	0	0
3	1	0	5
58	93	126	112
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	10	14	13
8	6	6	7
